02252; ;FØTEX RØDOVRE CENTRUM;RØDOVRE CENTRUM 198;2610;RØDOVRE;36733000;370;DIVERSE;5790001237196
02253; ;FØTEX IKAST;RÅDHUSSTRÆDET 2;7430;IKAST;97195000;370;DIVERSE;5790001241681
02255; ;FØTEX FOOD HASSERIS;HASSERIS BYMIDTE 29;9000;AALBORG;32481000;370;DIVERSE;5790001560980
02256; ;FØTEX FOOD DRAGØR;MAGLEBY TORV 2;2791;DRAGØR;32825000;370;DIVERSE;5790001561109
02258; ;FØTEX FOOD FREDENSBORG;WENDORPHSVEJ 2;3480;FREDENSBORG;48408000;370;DIVERSE;5790001561413
02259; ;FØTEX ETERNITTEN;SYNERGIVEJ 5;9000;AALBORG;96894000;370;DIVERSE;5790001878337
02260; ;FØTEX SILKEBORG;NØRREVÆNGET 47 A;8600;SILKEBORG;87236000;370;DIVERSE;5790001882570
02261; ;FØTEX BIRKERØD;STIHOLMSVEJ 6;3460;BIRKERØD;45179000;370;DIVERSE;5790001878498
02262; ;FØTEX SKANDERBORG;GASVÆRKSVEJ 5;8660;SKANDERBORG; ;370;DIVERSE;5790001551544
02263; ;FØTEX HJØRRING;BISPETORV 40;9800;HJØRRING;99564000;370;DIVERSE;5790001871697
02264; ;FØTEX EGEDAL;DAM HOLME 100;3650;ØLSTYKKE;47125000;370;DIVERSE;5790001878153
02265; ;FØTEX EBELTOFT;NORDRE STRANDVEJ 12-14;8400;EBELTOFT;89531000;370;DIVERSE;5790000095520
02266; ;FØTEX FRIHEDEN;STRANDMARKSVEJ 20;2650;HVIDOVRE;36799000;370;DIVERSE;5790000095650
02267; ;FØTEX HVIDOVREVEJ;HVIDOVREVEJ 75-81;2650;HVIDOVRE;36327000;370;DIVERSE;5790000095773
02268; ;FØTEX AMAGER CENTRET;REBERBANEGADE 3;2300;KØBENHAVN S;32838000;370;DIVERSE;5790000092949
02269; ;FØTEX KIRKEGÅRDSVEJ;KIRKEGÅRDSVEJ 2 - 4;2300;KØBENHAVN S;32839000;370;DIVERSE;5790000092642
02271; ;FØTEX HOLME;NYGÅRDSVEJ 95, HOLME;8270;HØJBJERG;89372000;370;DIVERSE;5790000082759
